prize,year,role,author,birth_year,book,age,posthumous
Booker,1988,nominee,Marina Warner,1946,The Lost Father,42,False
Booker,1989,winner,Kazuo Ishiguro,1954,The Remains of the Day,35,False
Booker,1989,nominee,Margaret Atwood,1939,Cat's Eye,50,False
Booker,1989,nominee,John Banville,1945,The Book of Evidence,44,False
Booker,1989,nominee,Sybille Bedford,1911,Jigsaw,78,False
Booker,1989,nominee,James Kelman,1946,A Disaffection,43,False
Booker,1989,nominee,Rose Tremain,1943,Restoration,46,False
Booker,1990,winner,A.S. Byatt,1936,Possession,54,False
Booker,1990,nominee,Beryl Bainbridge,1932,An Awfully Big Adventure,58,False
Booker,1990,nominee,Penelope Fitzgerald,1916,The Gate of Angels,74,False
Booker,1990,nominee,John McGahern,1934,Amongst Women,56,False
Booker,1990,nominee,Brian Moore,1921,Lies of Silence,69,False
Booker,1990,nominee,Mordecai Richler,1931,Solomon Gursky Was Here,59,False
Booker,1991,winner,Ben Okri,1959,The Famished Road,32,False
Booker,1991,nominee,Martin Amis,1949,Time's Arrow,42,False
Booker,1991,nominee,Roddy Doyle,1958,The Van,33,False
Booker,1991,nominee,Rohinton Mistry,1952,Such a Long Journey,39,False
Booker,1991,nominee,Timothy Mo,1950,The Redundancy of Courage,41,False
Booker,1991,nominee,William Trevor,1928,Reading Turgenev,63,False
Booker,1992,winner,Michael Ondaatje,1943,The English Patient,49,False
Booker,1992,winner,Barry Unsworth,1930,Sacred Hunger,62,False
Booker,1992,nominee,Christopher Hope,1944,Serenity House,48,False
Booker,1992,nominee,Patrick McCabe,1955,The Butcher Boy,37,False
Booker,1992,nominee,Ian McEwan,1948,Black Dogs,44,False
Booker,1992,nominee,Michele Roberts,1949,Daughters of the House,43,False
Booker,1993,winner,Roddy Doyle,1958,Paddy Clarke Ha Ha Ha,35,False
Booker,1993,nominee,Tibor Fischer,1959,Under the Frog,34,False
Booker,1993,nominee,Michael Ignatieff,1947,Scar Tissue,46,False
Booker,1993,nominee,David Malouf,1934,Remembering Babylon,59,False
Booker,1993,nominee,Caryl Phillips,1958,Crossing the River,35,False
Booker,1993,nominee,Carol Shields,1935,The Stone Diaries,58,False
Booker,1994,winner,James Kelman,1946,"How Late It Was, How Late",48,False
Booker,1994,nominee,Romesh Gunesekera,1954,Reef,40,False
Booker,1994,nominee,Abdulrazak Gurnah,1948,Paradise,46,False
Booker,1994,nominee,Alan Hollinghurst,1954,The Folding Star,40,False
Booker,1994,nominee,George Mackay Brown,1921,Beside the Ocean of Time,73,False
Booker,1994,nominee,Jill Paton Walsh,1937,Knowledge of Angels,57,False
Booker,1995,winner,Pat Barker,1943,The Ghost Road,52,False
Booker,1995,nominee,Justin Cartwright,1943,In Every Face I Meet,52,False
Booker,1995,nominee,Salman Rushdie,1947,The Moor's Last Sigh,48,False
Booker,1995,nominee,Barry Unsworth,1930,Morality Play,65,False
Booker,1995,nominee,Tim Winton,1960,The Riders,35,False
Booker,1996,winner,Graham Swift,1949,Last Orders,47,False
Booker,1996,nominee,Margaret Atwood,1939,Alias Grace,57,False
Booker,1996,nominee,Beryl Bainbridge,1932,Every Man for Himself,64,False
Booker,1996,nominee,Seamus Deane,1940,Reading in the Dark,56,False
Booker,1996,nominee,Shena Mackay,1944,The Orchard on Fire,52,False
Booker,1996,nominee,Rohinton Mistry,1952,A Fine Balance,44,False
Booker,1997,winner,Arundhati Roy,1961,The God of Small Things,36,False
Booker,1997,nominee,Jim Crace,1946,Quarantine,51,False
Booker,1997,nominee,Mick Jackson,1960,The Underground Man,37,False
Booker,1997,nominee,Bernard MacLaverty,1942,Grace Notes,55,False
Booker,1997,nominee,Tim Parks,1954,Europa,43,False
Booker,1997,nominee,Madeleine St John,1941,The Essence of the Thing,56,False
Booker,1998,winner,Ian McEwan,1948,Amsterdam,50,False
Booker,1998,nominee,Beryl Bainbridge,1932,Master Georgie,66,False
Booker,1998,nominee,Julian Barnes,1946,"England, England",52,False
Booker,1998,nominee,Martin Booth,1944,The Industry of Souls,54,False
Booker,1998,nominee,Patrick McCabe,1955,Breakfast on Pluto,43,False
Booker,1998,nominee,Magnus Mills,1954,The Restraint of Beasts,44,False
Booker,1999,winner,J.M. Coetzee,1940,Disgrace,59,False
Booker,1999,nominee,Anita Desai,1937,"Fasting, Feasting",62,False
Booker,1999,nominee,Michael Frayn,1933,Headlong,66,False
Booker,1999,nominee,Andrew O'Hagan,1968,Our Fathers,31,False
Booker,1999,nominee,Ahdaf Soueif,1950,The Map of Love,49,False
Booker,1999,nominee,Colm Toibin,1955,The Blackwater Lightship,44,False
Booker,2000,winner,Margaret Atwood,1939,The Blind Assassin,61,False
Booker,2000,nominee,Trezza Azzopardi,1961,The Hiding Place,39,False
Booker,2000,nominee,Michael Collins,1964,The Keepers of Truth,36,False
Booker,2000,nominee,Kazuo Ishiguro,1954,When We Were Orphans,46,False
Booker,2000,nominee,Matthew Kneale,1960,English Passengers,40,False
Booker,2000,nominee,Brian O'Doherty,1928,The Deposition of Father McGreevy,72,False
Booker,2001,winner,Peter Carey,1943,True History of the Kelly Gang,58,False
Booker,2001,nominee,Ian McEwan,1948,Atonement,53,False
Booker,2001,nominee,Andrew Miller,1960,Oxygen,41,False
Booker,2001,nominee,David Mitchell,1969,number9dream,32,False
Booker,2001,nominee,Rachel Seiffert,1971,The Dark Room,30,False
Booker,2001,nominee,Ali Smith,1962,Hotel World,39,False
Booker,2002,winner,Yann Martel,1963,Life of Pi,39,False
Booker,2002,nominee,Rohinton Mistry,1952,Family Matters,50,False
Booker,2002,nominee,Carol Shields,1935,Unless,67,False
Booker,2002,nominee,William Trevor,1928,The Story of Lucy Gault,74,False
Booker,2002,nominee,Sarah Waters,1966,Fingersmith,36,False
Booker,2002,nominee,Tim Winton,1960,Dirt Music,42,False
Booker,2003,winner,DBC Pierre,1961,Vernon God Little,42,False
Booker,2003,nominee,Monica Ali,1967,Brick Lane,36,False
Booker,2003,nominee,Margaret Atwood,1939,Oryx and Crake,64,False
Booker,2003,nominee,Damon Galgut,1963,The Good Doctor,40,False
Booker,2003,nominee,Zoe Heller,1965,Notes on a Scandal,38,False
Booker,2003,nominee,Clare Morrall,1952,Astonishing Splashes of Colour,51,False
Booker,2004,winner,Alan Hollinghurst,1954,The Line of Beauty,50,False
Booker,2004,nominee,Achmat Dangor,1948,Bitter Fruit,56,False
Booker,2004,nominee,Sarah Hall,1974,The Electric Michelangelo,30,False
Booker,2004,nominee,David Mitchell,1969,Cloud Atlas,35,False
Booker,2004,nominee,Colm Toibin,1955,The Master,49,False
Booker,2004,nominee,Gerard Woodward,1961,I'll Go to Bed at Noon,43,False
Booker,2005,winner,John Banville,1945,The Sea,60,False
Booker,2005,nominee,Julian Barnes,1946,Arthur & George,59,False
Booker,2005,nominee,Sebastian Barry,1955,A Long Long Way,50,False
Booker,2005,nominee,Kazuo Ishiguro,1954,Never Let Me Go,51,False
Booker,2005,nominee,Ali Smith,1962,The Accidental,43,False
Booker,2005,nominee,Zadie Smith,1975,On Beauty,30,False
Booker,2006,winner,Kiran Desai,1971,The Inheritance of Loss,35,False
Booker,2006,nominee,Kate Grenville,1950,The Secret River,56,False
Booker,2006,nominee,M.J. Hyland,1968,Carry Me Down,38,False
Booker,2006,nominee,Hisham Matar,1970,In the Country of Men,36,False
Booker,2006,nominee,Edward St Aubyn,1960,Mother's Milk,46,False
Booker,2006,nominee,Sarah Waters,1966,The Night Watch,40,False
Booker,2007,winner,Anne Enright,1962,The Gathering,45,False
Booker,2007,nominee,Nicola Barker,1966,Darkmans,41,False
Booker,2007,nominee,Mohsin Hamid,1971,The Reluctant Fundamentalist,36,False
Booker,2007,nominee,Lloyd Jones,1955,Mister Pip,52,False
Booker,2007,nominee,Ian McEwan,1948,On Chesil Beach,59,False
Booker,2007,nominee,Indra Sinha,1950,Animal's People,57,False
Booker,2008,winner,Aravind Adiga,1974,The White Tiger,34,False
Booker,2008,nominee,Sebastian Barry,1955,The Secret Scripture,53,False
Booker,2008,nominee,Amitav Ghosh,1956,Sea of Poppies,52,False
Booker,2008,nominee,Linda Grant,1951,The Clothes on Their Backs,57,False
Booker,2008,nominee,Philip Hensher,1965,The Northern Clemency,43,False
Booker,2008,nominee,Steve Toltz,1972,A Fraction of the Whole,36,False
Booker,2009,winner,Hilary Mantel,1952,Wolf Hall,57,False
Booker,2009,nominee,A.S. Byatt,1936,The Children's Book,73,False
Booker,2009,nominee,J.M. Coetzee,1940,Summertime,69,False
Booker,2009,nominee,Adam Foulds,1974,The Quickening Maze,35,False
Booker,2009,nominee,Simon Mawer,1948,The Glass Room,61,False
Booker,2009,nominee,Sarah Waters,1966,The Little Stranger,43,False
Booker,2010,winner,Howard Jacobson,1942,The Finkler Question,68,False
Booker,2010,nominee,Peter Carey,1943,Parrot and Olivier in America,67,False
Booker,2010,nominee,Emma Donoghue,1969,Room,41,False
Booker,2010,nominee,Damon Galgut,1963,In a Strange Room,47,False
Booker,2010,nominee,Andrea Levy,1956,The Long Song,54,False
Booker,2010,nominee,Tom McCarthy,1969,C,41,False
Booker,2011,winner,Julian Barnes,1946,The Sense of an Ending,65,False
Booker,2011,nominee,Carol Birch,1951,Jamrach's Menagerie,60,False
Booker,2011,nominee,Patrick deWitt,1975,The Sisters Brothers,36,False
Booker,2011,nominee,Esi Edugyan,1978,Half-Blood Blues,33,False
Booker,2011,nominee,Stephen Kelman,1976,Pigeon English,35,False
Booker,2011,nominee,A.D. Miller,1974,Snowdrops,37,False
Booker,2012,winner,Hilary Mantel,1952,Bring Up the Bodies,60,False
Booker,2012,nominee,Tan Twan Eng,1972,The Garden of Evening Mists,40,False
Booker,2012,nominee,Deborah Levy,1959,Swimming Home,53,False
Booker,2012,nominee,Alison Moore,1971,The Lighthouse,41,False
Booker,2012,nominee,Will Self,1961,Umbrella,51,False
Booker,2012,nominee,Jeet Thayil,1959,Narcopolis,53,False
Booker,2013,winner,Eleanor Catton,1985,The Luminaries,28,False
Booker,2013,nominee,NoViolet Bulawayo,1981,We Need New Names,32,False
Booker,2013,nominee,Jim Crace,1946,Harvest,67,False
Booker,2013,nominee,Jhumpa Lahiri,1967,The Lowland,46,False
Booker,2013,nominee,Ruth Ozeki,1956,A Tale for the Time Being,57,False
Booker,2013,nominee,Colm Toibin,1955,The Testament of Mary,58,False
Booker,2014,winner,Richard Flanagan,1961,The Narrow Road to the Deep North,53,False
Booker,2014,nominee,Joshua Ferris,1974,To Rise Again at a Decent Hour,40,False
Booker,2014,nominee,Karen Joy Fowler,1950,We Are All Completely Beside Ourselves,64,False
Booker,2014,nominee,Howard Jacobson,1942,J,72,False
Booker,2014,nominee,Neel Mukherjee,1970,The Lives of Others,44,False
Booker,2014,nominee,Ali Smith,1962,How to Be Both,52,False
Booker,2015,winner,Marlon James,1970,A Brief History of Seven Killings,45,False
Booker,2015,nominee,Tom McCarthy,1969,Satin Island,46,False
Booker,2015,nominee,Chigozie Obioma,1986,The Fishermen,29,False
Booker,2015,nominee,Sunjeev Sahota,1981,The Year of the Runaways,34,False
Booker,2015,nominee,Anne Tyler,1941,A Spool of Blue Thread,74,False
Booker,2015,nominee,Hanya Yanagihara,1974,A Little Life,41,False
Booker,2016,winner,Paul Beatty,1962,The Sellout,54,False
Booker,2016,nominee,Deborah Levy,1959,Hot Milk,57,False
Booker,2016,nominee,Graeme Macrae Burnet,1967,His Bloody Project,49,False
Booker,2016,nominee,Ottessa Moshfegh,1981,Eileen,35,False
Booker,2016,nominee,David Szalay,1974,All That Man Is,42,False
Booker,2016,nominee,Madeleine Thien,1974,Do Not Say We Have Nothing,42,False
Booker,2017,winner,George Saunders,1958,Lincoln in the Bardo,59,False
Booker,2017,nominee,Paul Auster,1947,4 3 2 1,70,False
Booker,2017,nominee,Emily Fridlund,1979,History of Wolves,38,False
Booker,2017,nominee,Mohsin Hamid,1971,Exit West,46,False
Booker,2017,nominee,Fiona Mozley,1988,Elmet,29,False
Booker,2017,nominee,Ali Smith,1962,Autumn,55,False
Booker,2018,winner,Anna Burns,1962,Milkman,56,False
Booker,2018,nominee,Esi Edugyan,1978,Washington Black,40,False
Booker,2018,nominee,Daisy Johnson,1990,Everything Under,28,False
Booker,2018,nominee,Rachel Kushner,1968,The Mars Room,50,False
Booker,2018,nominee,Richard Powers,1957,The Overstory,61,False
Booker,2018,nominee,Robin Robertson,1955,The Long Take,63,False
Booker,2019,winner,Margaret Atwood,1939,The Testaments,80,False
Booker,2019,winner,Bernardine Evaristo,1959,"Girl, Woman, Other",60,False
Booker,2019,nominee,Lucy Ellmann,1956,"Ducks, Newburyport",63,False
Booker,2019,nominee,Chigozie Obioma,1986,An Orchestra of Minorities,33,False
Booker,2019,nominee,Salman Rushdie,1947,Quichotte,72,False
Booker,2019,nominee,Elif Shafak,1971,10 Minutes 38 Seconds in This Strange World,48,False
Booker,2020,winner,Douglas Stuart,1976,Shuggie Bain,44,False
Booker,2020,nominee,Diane Cook,1976,The New Wilderness,44,False
Booker,2020,nominee,Tsitsi Dangarembga,1959,This Mournable Body,61,False
Booker,2020,nominee,Avni Doshi,1982,Burnt Sugar,38,False
Booker,2020,nominee,Maaza Mengiste,1971,The Shadow King,49,False
Booker,2020,nominee,Brandon Taylor,1989,Real Life,31,False
Booker,2021,winner,Damon Galgut,1963,The Promise,58,False
Booker,2021,nominee,Anuk Arudpragasam,1988,A Passage North,33,False
Booker,2021,nominee,Patricia Lockwood,1982,No One Is Talking About This,39,False
Booker,2021,nominee,Nadifa Mohamed,1981,The Fortune Men,40,False
Booker,2021,nominee,Richard Powers,1957,Bewilderment,64,False
Booker,2021,nominee,Maggie Shipstead,1983,Great Circle,38,False
Booker,2022,winner,Shehan Karunatilaka,1975,The Seven Moons of Maali Almeida,47,False
Booker,2022,nominee,NoViolet Bulawayo,1981,Glory,41,False
Booker,2022,nominee,Percival Everett,1956,The Trees,66,False
Booker,2022,nominee,Alan Garner,1934,Treacle Walker,88,False
Booker,2022,nominee,Claire Keegan,1968,Small Things Like These,54,False
Booker,2022,nominee,Elizabeth Strout,1956,Oh William!,66,False
Booker,2023,winner,Paul Lynch,1977,Prophet Song,46,False
Booker,2023,nominee,Chetna Maroo,1975,Western Lane,48,False
Booker,2023,nominee,Sarah Bernstein,1987,Study for Obedience,36,False
Booker,2023,nominee,Jonathan Escoffery,1980,If I Survive You,43,False
Booker,2023,nominee,Paul Harding,1967,This Other Eden,56,False
Booker,2023,nominee,Paul Murray,1975,The Bee Sting,48,False
Booker,2024,winner,Samantha Harvey,1975,Orbital,49,False
Booker,2024,nominee,Percival Everett,1956,James,68,False
Booker,2024,nominee,Rachel Kushner,1968,Creation Lake,56,False
Booker,2024,nominee,Anne Michaels,1958,Held,66,False
Booker,2024,nominee,Yael van der Wouden,1987,The Safekeep,37,False
Booker,2024,nominee,Charlotte Wood,1965,Stone Yard Devotional,59,False
Booker,2025,winner,David Szalay,1974,Flesh,51,False
Booker,2025,nominee,Susan Choi,1969,Flashlight,56,False
Booker,2025,nominee,Kiran Desai,1971,The Loneliness of Sonia and Sunny,54,False
Booker,2025,nominee,Katie Kitamura,1979,Audition,46,False
Booker,2025,nominee,Ben Markovits,1973,The Rest of Our Lives,52,False
Booker,2025,nominee,Andrew Miller,1960,The Land in Winter,65,False
Pulitzer,1976,winner,Saul Bellow,1915,Humboldt's Gift,61,False
Pulitzer,1978,winner,James Alan McPherson,1943,Elbow Room,35,False
Pulitzer,1979,winner,John Cheever,1912,The Stories of John Cheever,67,False
Pulitzer,1980,winner,Norman Mailer,1923,The Executioner's Song,57,False
Pulitzer,1980,nominee,Philip Roth,1933,The Ghost Writer,47,False
Pulitzer,1980,nominee,William Wharton,1925,Birdy,55,False
Pulitzer,1981,winner,John Kennedy Toole,1937,A Confederacy of Dunces,44,True
Pulitzer,1981,nominee,Frederick Buechner,1926,Godric,55,False
Pulitzer,1981,nominee,William Maxwell,1908,"So Long, See You Tomorrow",73,False
Pulitzer,1982,winner,John Updike,1932,Rabbit Is Rich,50,False
Pulitzer,1982,nominee,Robert Stone,1937,A Flag for Sunrise,45,False
Pulitzer,1982,nominee,Marilynne Robinson,1943,Housekeeping,39,False
Pulitzer,1983,winner,Alice Walker,1944,The Color Purple,39,False
Pulitzer,1983,nominee,Anne Tyler,1941,Dinner at the Homesick Restaurant,42,False
Pulitzer,1983,nominee,Chaim Grade,1910,Rabbis and Wives,73,False
Pulitzer,1984,winner,William Kennedy,1928,Ironweed,56,False
Pulitzer,1984,nominee,Raymond Carver,1938,Cathedral,46,False
Pulitzer,1984,nominee,Thomas Berger,1924,The Feud,60,False
Pulitzer,1985,winner,Alison Lurie,1926,Foreign Affairs,59,False
Pulitzer,1985,nominee,Douglas Unger,1952,Leaving the Land,33,False
Pulitzer,1985,nominee,Diana O'Hehir,1922,I Wish This War Were Over,63,False
Pulitzer,1986,winner,Larry McMurtry,1936,Lonesome Dove,50,False
Pulitzer,1986,nominee,Anne Tyler,1941,The Accidental Tourist,45,False
Pulitzer,1986,nominee,Russell Banks,1940,Continental Drift,46,False
Pulitzer,1987,winner,Peter Taylor,1917,A Summons to Memphis,70,False
Pulitzer,1987,nominee,Norman Rush,1933,Whites,54,False
Pulitzer,1987,nominee,Donald Barthelme,1931,Paradise,56,False
Pulitzer,1988,winner,Toni Morrison,1931,Beloved,57,False
Pulitzer,1988,nominee,Alice McDermott,1953,That Night,35,False
Pulitzer,1988,nominee,Diane Johnson,1934,Persian Nights,54,False
Pulitzer,1989,winner,Anne Tyler,1941,Breathing Lessons,48,False
Pulitzer,1989,nominee,Raymond Carver,1938,Where I'm Calling From,51,True
Pulitzer,1990,winner,Oscar Hijuelos,1951,The Mambo Kings Play Songs of Love,39,False
Pulitzer,1990,nominee,E.L. Doctorow,1931,Billy Bathgate,59,False
Pulitzer,1991,winner,John Updike,1932,Rabbit at Rest,59,False
Pulitzer,1991,nominee,Joyce Carol Oates,1938,"Because It Is Bitter, and Because It Is My Heart",53,False
Pulitzer,1991,nominee,Linda Hogan,1947,Mean Spirit,44,False
Pulitzer,1992,winner,Jane Smiley,1949,A Thousand Acres,43,False
Pulitzer,1992,nominee,Don DeLillo,1936,Mao II,56,False
Pulitzer,1992,nominee,David Gates,1947,Jernigan,45,False
Pulitzer,1992,nominee,Robert M. Pirsig,1928,Lila: An Inquiry into Morals,64,False
Pulitzer,1993,winner,Robert Olen Butler,1945,A Good Scent from a Strange Mountain,48,False
Pulitzer,1993,nominee,Joyce Carol Oates,1938,Black Water,55,False
Pulitzer,1993,nominee,Alice McDermott,1953,At Weddings and Wakes,40,False
Pulitzer,1994,winner,E. Annie Proulx,1935,The Shipping News,59,False
Pulitzer,1994,nominee,Philip Roth,1933,Operation Shylock,61,False
Pulitzer,1994,nominee,Reynolds Price,1933,The Collected Stories,61,False
Pulitzer,1995,winner,Carol Shields,1935,The Stone Diaries,60,False
Pulitzer,1995,nominee,Joyce Carol Oates,1938,What I Lived For,57,False
Pulitzer,1995,nominee,Grace Paley,1922,The Collected Stories,73,False
Pulitzer,1996,winner,Richard Ford,1944,Independence Day,52,False
Pulitzer,1996,nominee,Philip Roth,1933,Sabbath's Theater,63,False
Pulitzer,1996,nominee,Oscar Hijuelos,1951,Mr. Ives' Christmas,45,False
Pulitzer,1997,winner,Steven Millhauser,1943,Martin Dressler,54,False
Pulitzer,1997,nominee,Ursula K. Le Guin,1929,Unlocking the Air and Other Stories,68,False
Pulitzer,1997,nominee,Joanna Scott,1960,The Manikin,37,False
Pulitzer,1998,winner,Philip Roth,1933,American Pastoral,65,False
Pulitzer,1998,nominee,Don DeLillo,1936,Underworld,62,False
Pulitzer,1998,nominee,Robert Stone,1937,Bear and His Daughter,61,False
Pulitzer,1999,winner,Michael Cunningham,1952,The Hours,47,False
Pulitzer,1999,nominee,Russell Banks,1940,Cloudsplitter,59,False
Pulitzer,1999,nominee,Barbara Kingsolver,1955,The Poisonwood Bible,44,False
Pulitzer,2000,winner,Jhumpa Lahiri,1967,Interpreter of Maladies,33,False
Pulitzer,2000,nominee,Annie Proulx,1935,Close Range,65,False
Pulitzer,2000,nominee,Ha Jin,1956,Waiting,44,False
Pulitzer,2001,winner,Michael Chabon,1963,The Amazing Adventures of Kavalier & Clay,38,False
Pulitzer,2001,nominee,Joyce Carol Oates,1938,Blonde,63,False
Pulitzer,2001,nominee,Joy Williams,1944,The Quick and the Dead,57,False
Pulitzer,2002,winner,Richard Russo,1949,Empire Falls,53,False
Pulitzer,2002,nominee,Jonathan Franzen,1959,The Corrections,43,False
Pulitzer,2002,nominee,Colson Whitehead,1969,John Henry Days,33,False
Pulitzer,2003,winner,Jeffrey Eugenides,1960,Middlesex,43,False
Pulitzer,2003,nominee,Andrea Barrett,1954,Servants of the Map,49,False
Pulitzer,2003,nominee,Adam Haslett,1970,You Are Not a Stranger Here,33,False
Pulitzer,2004,winner,Edward P. Jones,1950,The Known World,54,False
Pulitzer,2004,nominee,Marianne Wiggins,1947,Evidence of Things Unseen,57,False
Pulitzer,2004,nominee,Susan Choi,1969,American Woman,35,False
Pulitzer,2005,winner,Marilynne Robinson,1943,Gilead,62,False
Pulitzer,2005,nominee,Ward Just,1935,An Unfinished Season,70,False
Pulitzer,2005,nominee,Ha Jin,1956,War Trash,49,False
Pulitzer,2006,winner,Geraldine Brooks,1955,March,51,False
Pulitzer,2006,nominee,E.L. Doctorow,1931,The March,75,False
Pulitzer,2006,nominee,Lee Martin,1955,The Bright Forever,51,False
Pulitzer,2007,winner,Cormac McCarthy,1933,The Road,74,False
Pulitzer,2007,nominee,Alice McDermott,1953,After This,54,False
Pulitzer,2007,nominee,Richard Powers,1957,The Echo Maker,50,False
Pulitzer,2008,winner,Junot Diaz,1968,The Brief Wondrous Life of Oscar Wao,40,False
Pulitzer,2008,nominee,Denis Johnson,1949,Tree of Smoke,59,False
Pulitzer,2008,nominee,Lore Segal,1928,Shakespeare's Kitchen,80,False
Pulitzer,2009,winner,Elizabeth Strout,1956,Olive Kitteridge,53,False
Pulitzer,2009,nominee,Louise Erdrich,1954,The Plague of Doves,55,False
Pulitzer,2009,nominee,Christine Schutt,1948,All Souls,61,False
Pulitzer,2010,winner,Paul Harding,1967,Tinkers,43,False
Pulitzer,2010,nominee,Lydia Millet,1968,Love in Infant Monkeys,42,False
Pulitzer,2010,nominee,Daniyal Mueenuddin,1963,"In Other Rooms, Other Wonders",47,False
